type,issue_number,author,author_type,created_at,state,title,text
issue_body,37136,kurtextrem,User,2026-07-27T08:17:04Z,closed,[DevTools Bug]: React DevTools crash Chrome DevTools,"### Website or app

https://www.planhat.com/request-a-demo

### Repro steps

1. Open DevTools on https://www.planhat.com/request-a-demo
2. Go to the Performance tab, enable 6x throttling and click the ""Refresh to record"" icon

(revision 3cde211b0c on 10/20/2025)

https://github.com/user-attachments/assets/83cf3d1f-b08d-4a2d-90ab-25146fd4cdc8

I've reported it to Chromium too just in case: https://issues.chromium.org/issues/539204630. Disabling React DevTools fixes the crash.


### How often does this bug happen?

Every time

### DevTools package (automated)

_No response_

### DevTools version (automated)

_No response_

### Error message (automated)

_No response_

### Error call stack (automated)

```text

```

### Error component stack (automated)

```text

```

### GitHub query string (automated)

```text

```"
issue_body,37126,fallintoplace,User,2026-07-25T20:04:29Z,open,Bug: DevTools single-string console formatter consumes missing substitution arguments,"React version: Current main (`b685b40d`)

## Steps To Reproduce

1. Call the DevTools helper with more substitution specifiers than arguments:

```js
formatConsoleArgumentsToSingleString('%s %s', 'value');
formatConsoleArgumentsToSingleString('%d %d', 1);
```

2. Observe the returned strings.

Link to code example:

https://github.com/react/react/blob/b685b40d9a719bee47422283fd86b5db2e4753ea/packages/react-devtools-shared/src/backend/utils/index.js#L185-L233

## The current behavior

The helper shifts from an empty arguments array for the unmatched specifier, so it returns `value undefined` and `1 NaN`.

This helper is used to build the message key for warnings and errors logged during render, commit, and passive effects. As a result, DevTools can track a different message from the one produced by the console.

## The expected behavior

Unmatched specifiers should remain literal, matching browser console behavior and Node `util.format`:

```text
value %s
1 %d
```

The sibling `formatConsoleArguments` helper was updated with this behavior in #36930, but `formatConsoleArgumentsToSingleString` still consumes a missing argument.
"
issue_body,37124,fallintoplace,User,2026-07-25T19:57:01Z,open,Bug: Fragment ref blur() does not blur nested focused elements,"React version: current main (b685b40d; experimental Fragment refs)

## Steps To Reproduce

1. Render a Fragment ref whose first focusable element is nested inside a host child.
2. Call focus() on the Fragment ref.
3. Call blur() on the same Fragment ref.

Link to code example:

```jsx
const fragmentRef = React.createRef();

<Fragment ref={fragmentRef}>
  <div>
    <input id=""nested-input"" />
  </div>
</Fragment>;

fragmentRef.current.focus();
fragmentRef.current.blur();
```

The existing Fragment refs fixture contains this shape: its first focusable child is a button nested inside a div.

## The current behavior

focus() finds and focuses the nested input, but blur() leaves it focused. blur() only compares the active element with the Fragment direct host children, so it sees the containing div rather than the focused descendant.

## The expected behavior

blur() should remove focus when the active element is anywhere within a Fragment host child, matching the deep traversal behavior of focus()."
issue_body,37116,dai-shi,User,2026-07-25T02:39:28Z,closed,[Flight] Performance track debug info is not recovered for plain object roots,"## Summary

`flushComponentPerformance` reads `root._debugInfo` from the chunk. When
that array is empty and the chunk is fulfilled, it recovers the debug info
from the resolved value, but only when the value is an array, an async
iterable, a React element, or a lazy:

```js
if (debugInfo.length === 0 && root.status === 'fulfilled') {
  const resolvedValue = resolveLazy(root.value);
  if (
    typeof resolvedValue === 'object' && resolvedValue !== null &&
    (isArray(resolvedValue) ||
      typeof resolvedValue[ASYNC_ITERATOR] === 'function' ||
      resolvedValue.$$typeof === REACT_ELEMENT_TYPE ||
      resolvedValue.$$typeof === REACT_LAZY_TYPE) &&
    isArray(resolvedValue._debugInfo)
  ) {
    debugInfo = resolvedValue._debugInfo;
  }
}
```

A plain object root is excluded, so the Server Components track in the
Performance panel does not work for payloads whose root is a plain object,
even when the resolved value carries a `_debugInfo` array. Verified in
`react-server-dom-webpack@19.3.0-canary-28cd4bb0-20260723`.

## Context

Waku's RSC payload root is a plain object mapping slot ids to elements
(`Record<string, unknown>`), which lets one payload carry several named
elements. This shape is deliberate and we would like to keep it. Today we
patch the read site with a build transform that drops the type restriction,
which works but is coupled to the compiled output:

https://github.com/wakujs/waku/blob/main/packages/waku/src/lib/vite-plugins/patch-rsdw.ts

@vitejs/plugin-rsc documents the same shape constraint for its performance
track example (vitejs/vite-plugin-react#1152, vitejs/vite-plugin-react#1304).

## Request

Relax the recovery to accept any object value that carries an own
`_debugInfo` array. The type restriction seems to mirror
`moveDebugInfoFromChunkToInnerValue`, where it guards attaching
`_debugInfo` to the value. The read site only reads the property, so the
restriction does not appear to protect anything there, and the relaxation
is additive: values without `_debugInfo` behave as before.

If there is a supported way to get the performance track with a plain
object root without reshaping the payload, that guidance would also
resolve this for us."
issue_body,37103,joewalker,User,2026-07-23T10:56:41Z,closed,Bug: Importing `react-dom/server` under Deno prevents the process from ever exiting.,"Deno's export-condition resolution selects the **browser** server build, which creates a `MessageChannel` at module scope and assigns `port1.onmessage`. That refs the port against the event loop, and nothing ever closes it, so the runtime stays alive forever after the script finishes.

No rendering is required, because the channel is created at module scope. The equivalent Node import is unaffected, since `server.node.js` schedules on `setImmediate` and contains no `MessageChannel`.

React version: 19.2.8

(Tested against Deno 2.9.3 and Node 26.5.0)

## Steps To Reproduce

Setup `npm install react-dom@19.2.8`

- Case 1. `node -e ""import 'react-dom/server'; console.log('done');""`
- Case 2. `deno eval ""import 'react-dom/server'; console.log('done');""`
- Case 3. `deno eval ""import 'react-dom/server.node'; console.log('done');""`

In all cases ""done"" is output.

However, under node (case 1), the process completes. Under deno, using 'react-dom/server' (case 2), the process hangs. Under deno, using 'react-dom/server.node' (case 3), the process completes.

## Is this a deno bug?

TL;DR: Not really, both node and deno act the same when given the same builds.

`react-dom`'s `./server` export map points the `deno` condition to the browser export:

```json
""./server"": {
  ""react-server"": ""./server.react-server.js"",
  ""workerd"":      ""./server.edge.js"",
  ""bun"":          ""./server.bun.js"",
  ""deno"":         ""./server.browser.js"",
  ""worker"":       ""./server.browser.js"",
  ""node"":         ""./server.node.js"",
  ""edge-light"":   ""./server.edge.js"",
  ""browser"":      ""./server.browser.js"",
  ""default"":      ""./server.node.js""
}
```

(Note that deno also sets the `node` condition, however the `deno` condition is listed first above so it wins)

Neither Deno nor react-dom misbehaves alone; it is specifically Deno resolving to the browser build.

The key difference between the builds is the construction of `MessageChannel`.

`cjs/react-dom-server.browser.production.js:132` says:

```javascript
var channel = new MessageChannel(),
  taskQueue = [];
channel.port1.onmessage = function () {
  var task = taskQueue.shift();
  task && task();
};
```

(The repro loads the development build, as NODE_ENV is unset - same logic at `cjs/react-dom-server.browser.development.js:8818`, just formatted differently.)

This is module-scope state with no teardown path, so the port stays open and ref'd for the lifetime of the module. In a browser that is invisible - there is no process to exit. In any runtime with an exit condition, it pins the process open.

`cjs/react-dom-server.node.production.js` doesn't do the same.


### Reduced, with no React dependency at all

The following hangs:

```sh
deno eval ""const c = new MessageChannel(); c.port1.onmessage = () => {}; console.log('done');""
```

Removing the handler assignment makes it exit 0:

```sh
deno eval ""const c = new MessageChannel(); console.log('done');""
```

Constructing a `MessageChannel` is inert, but assigning a handler starts the port and refs it. This reduction also hangs under Node, so the underlying behaviour is not Deno-specific - Deno merely loads the build that does it.

The solution could be to point deno at a node build (which works in my testing) or maybe to have the browser build's scheduler `unref()` the port where available, or create the channel lazily on first `scheduleWork` and close it when the task queue drains, so an import with no render leaves nothing open."
issue_body,37100,tk1024,User,2026-07-23T05:58:35Z,open,"Bug: [DEV] ""ReferenceError: window is not defined"" from Scheduler tasks after test DOM environment teardown — regression in 19.2.0","The DEV build of react-dom reads `window.event` unconditionally at the entry of Scheduler-driven tasks (Performance Tracks event attribution, added in 19.2.0).
Scheduler tasks live on the host event loop (`setImmediate` in Node, captured at module load) and can legitimately fire after a jsdom / happy-dom test environment has been torn down. When that happens, the task throws `ReferenceError: window is not defined` before doing any work — in per-test-file DOM environments (vitest, jest) this fails entire CI suites with an unhandled error while every test passes.

Tested against the latest packages: still present in react-dom 19.2.8 (latest), `19.3.0-canary-711c445b-20260722`, and on current `main`.

React version: 19.2.0 – 19.2.8 (regression introduced in 19.2.0; 19.1.x is not affected)

## Steps To Reproduce

1. `npm i react@19.2.8 react-dom@19.2.8 jsdom`
2. Save the script below as `repro.mjs` and run `node repro.mjs` (verified on Node v24.10.0)

Link to code example:

Minimal script inlined below — the crash is deterministic (no test runner, no timing dependence). The only dependency besides React is jsdom, which is the subject of the bug: it emulates the per-test-file DOM environment that runners like vitest and jest create and tear down.

```js
// repro.mjs
import { JSDOM } from ""jsdom"";
import React from ""react"";

const dom = new JSDOM('<div id=""root""></div>');
globalThis.window = dom.window;
globalThis.document = dom.window.document;

const { createRoot } = await import(""react-dom/client"");

const root = createRoot(document.getElementById(""root""));
// Concurrent render: the actual work is scheduled on the Scheduler,
// which uses setImmediate in Node.
root.render(React.createElement(""div"", null, ""hello""));

// Simulate what vitest / jest do between test files: tear down the DOM
// environment while the scheduled task is still queued.
delete globalThis.window;
delete globalThis.document;

setTimeout(() => console.log(""done, no crash""), 50);
```

## The current behavior

The script crashes:

```
react-dom/cjs/react-dom-client.development.js:18936
      schedulerEvent = window.event;
      ^
ReferenceError: window is not defined
    at performWorkOnRootViaSchedulerTask (react-dom-client.development.js:18936:7)
    at Immediate.performWorkUntilDeadline (scheduler/cjs/scheduler.development.js:45:48)
    at process.processImmediate (node:internal/timers:505:21)
```

(Removing the two `delete` lines makes it print `done, no crash` and exit 0.)

The unguarded reads are [`trackSchedulerEvent()` / `resolveEventType()` / `resolveEventTimeStamp()` in `ReactFiberConfigDOM.js` (L806-L818)](https://github.com/facebook/react/blob/main/packages/react-dom-bindings/src/client/ReactFiberConfigDOM.js#L806-L818).
`trackSchedulerEvent()` runs at the top of `performWorkOnRootViaSchedulerTask` and `processRootScheduleInImmediateTask`, and of the passive-effects flush callback scheduled by `commitRoot` — i.e. at the entry of deferred tasks.

This is a regression introduced in 19.2.0. Comparing the published DEV builds:

| react-dom (DEV) | `window.event` reads | where they sit |
| --- | --- | --- |
| 19.0.0 / 19.1.x | 2 | `resolveUpdatePriority()` / `shouldAttemptEagerTransition()` — only called while an update is being dispatched, i.e. `window` is alive by construction |
| 19.2.0+ | 7 | adds `trackSchedulerEvent()` at the entry of Scheduler tasks, which run on deferred `setImmediate` ticks and can fire after the environment that scheduled them is gone |

Real-world impact: in test runners that create one DOM environment per test file, React work scheduled near the end of a file (e.g. a passive-effects flush from a commit outside `act()`, routinely triggered by library internals without any test bug) can survive into the ""no window"" gap between two files. On slow CI runners this fails whole suites with ""Vitest caught 1 unhandled error during the test run"" and a non-zero exit code while every test passes, and the error is attributed to the next, innocent test file — which makes it look like machine-speed-dependent flakiness and very hard to diagnose. Since the read is DEV-only, production builds are unaffected — but the DEV build is exactly what test environments run.


## The expected behavior

Best-effort profiling instrumentation should not be able to crash the process.
When `window` is not available, the attribution can resolve to `undefined`:

```js
export function trackSchedulerEvent(): void {
  schedulerEvent = typeof window !== 'undefined' ? window.event : undefined;
}
```

This would match react-dom's existing convention: the same bundle already `typeof`-guards other `window` accesses that may run outside a browser DOM (e.g. the `canUseDOM` check and the `window.ErrorEvent` detection in the error-reporting path).
The 19.2.0 instrumentation reads are the only unguarded `window` accesses sitting on a deferred-task path."
issue_body,37091,narukeu,User,2026-07-22T03:55:26Z,open,"With Node.js now offering solid support for require(esm), I suggest React consider a pure ESM build for its next major release.","With Node.js now offering solid support for require(esm), I suggest React consider a pure ESM build for its next major release.

Currently, React’s primary build artifacts published to npm are still based on CommonJS. Historically, retaining CommonJS made practical sense for compatibility, as a vast number of Node.js tooling and server-side applications rely on synchronous `require()` to load React.

But today, newer versions of Node.js can synchronously load ESM modules via `require()`, the fundamental blocker preventing React from migrating to a pure ESM build has essentially disappeared.

Therefore, I believe a pure ESM build for React is now practically viable in the next major version, and I encourage the React team to evaluate this direction. Given that a new major release would likely bump the minimum Node.js runtime requirement as well, this might be the perfect timing to push forward with a pure ESM build."
issue_body,37078,filiptrivan,User,2026-07-20T20:07:32Z,open,Bug: 19.2 batched Suspense reveal can consume the wrong completion segment when a resumed (PPR) stream reuses a queued segment id — DOM corruption + hydration failure,"## Summary

Since React 19.2's batched Suspense reveal (""Batching Suspense Boundaries for SSR streaming""), the inline `completeBoundary` runtime (`$RC`) no longer consumes its content segment synchronously — it queues `(boundary, content)` pairs into `$RB` and consumes them in a deferred `revealCompletedBoundaries` (`$RV`) flush (rAF, then a ~300ms/2.3s-LCP throttle). The queued content segment `<div hidden id=""S:n"">` therefore **stays in the DOM with its id until the flush**.

In a prerender+resume (PPR) document, the resume stream's segment ids are allocated independently of the prerender's, so a resume segment can legally reuse an id the shell already used for a boundary completion — one document containing two `<div hidden id=""S:4"">` (the shell boundary `B:4`'s completion segment, and the resume segment feeding postponed hole `P:4` via `$RS(""S:4"",""P:4"")`). This was safe pre-19.2 **by ordering**: each segment was consumed and removed synchronously by its own inline script before the next same-id segment parsed.

With batching, when the whole document is parsed in one burst (CDN cache hit / fast network / busy main thread delaying rAF), the parser executes `$RS(""S:4"",""P:4"")` while the shell's `S:4` is still queued and in the DOM. `completeSegment`'s `document.getElementById(""S:4"")` returns the **first (wrong) segment** and moves the wrong subtree into the resume hole. The subsequent `$RV` flush then operates on a cross-linked tree and throws:

```
HierarchyRequestError: Failed to execute 'insertBefore' on 'Node': The new child element contains the parent.
```

leaving orphaned never-consumed hidden segments, after which hydration fails (`Minified React error #418` storm — observed 7–38 per load) and React discards the SSR output and client-renders. In the worst observed case the boundary's fallback had already been deleted when the insert threw, leaving a blank region and a pegged main thread (user-facing ""Page Unresponsive"").

## Environment

- react-dom `19.2.3` (vendored by Next.js `16.2.9`, `cacheComponents: true`, deployed on Vercel — the shell+resume document form)
- Observed on a production e-commerce storefront; browsers: Chromium (headless and desktop), Brave.

## Reproduction

On a captured shell+resume document containing the duplicate-id shape (two `<div hidden id=""S:4"">` + `$RS(""S:4"",""P:4"")` later in the stream):

1. Serve the bytes to the browser **in one burst** (e.g. Playwright `route.fulfill` with the fully buffered body — the deterministic form of a CDN cache-hit delivery).
2. Stock 19.2.3 inline runtime: **10/10 runs corrupt** — instrumented `document.getElementById` shows the `S:4` lookup running with 2 matches present and returning index 0 (the shell's queued segment); then the `HierarchyRequestError` from `$RV`, orphaned `div[hidden][id^=""S:""]` nodes, and the #418 storm.
3. Replace **only** the inline `$RC` template with the pre-19.2-style synchronous equivalent (same per-pair logic `$RV` runs — fallback walk, child move, `""$""` reveal, `_reactRetry` — applied at script-execution time): **0/10 corrupt**, all segments consumed, clean hydration.

Over a real network the failure is timing-dependent (~2/3 of hard loads on a fast connection in our measurements; a dribbled stream lets the rAF flush win the race), which is why it presents as a flaky production-only hydration failure.

I'm happy to provide the captured HTML documents, the instrumentation snippets, and to work on a minimal standalone repro if useful.

## Suggested direction

Resumed streams' segment/placeholder ids must not be able to collide with ids the shell's queued completions still hold in the DOM. Options that would each fix it:

- distinct id namespace (or prefix) for resume segments, or
- `completeSegment` (`$RS`) flushing the pending `$RB` queue before its lookup, or
- boundary completions removing the queued segment from the id space at queue time (e.g. clearing its `id` when pushed to `$RB`).

## Note

Filed with a cross-reference in vercel/next.js, since the colliding document shape is produced by Next's PPR prerender+resume path, but the ordering regression itself is in the 19.2 fizz inline runtime.
"
issue_body,37074,marty-a11y,User,2026-07-20T13:24:13Z,open,[DevTools Bug]: Profiler tab position not remembered,"### Website or app

N/A

### Repro steps

1. Open ANY site with React
2. Open the devtools
3. Drag the Profiler tab to the far right
4. Close and reopen the devtools
    Or, make the devtools narrower and wider again (forcing tabs to reposition)

### How often does this bug happen?

Every time

### DevTools package (automated)

_No response_

### DevTools version (automated)

_No response_

### Error message (automated)

_No response_

### Error call stack (automated)

```text

```

### Error component stack (automated)

```text

```

### GitHub query string (automated)

```text

```"
issue_body,37073,rendydiptayana241-hash,User,2026-07-20T12:29:07Z,closed,Bug:,"<!--
  Please provide a clear and concise description of what the bug is. Include
  screenshots if needed. Please test using the latest version of the relevant
  React packages to make sure your issue has not already been fixed.
-->

React version:

## Steps To Reproduce

1.
2.

<!--
  Your bug will get fixed much faster if we can run your code and it doesn't
  have dependencies other than React. Issues without reproduction steps or
  code examples may be immediately closed as not actionable.
-->

Link to code example:

<!--
  Please provide a CodeSandbox (https://codesandbox.io/s/new), a link to a
  repository on GitHub, or provide a minimal code example that reproduces the
  problem. You may provide a screenshot of the application if you think it is
  relevant to your bug report. Here are some tips for providing a minimal
  example: https://stackoverflow.com/help/mcve.
-->

## The current behavior


## The expected behavior
"
